2.986362011743681251e+02,6.723972427878477731e+01,6.900000000000000000e+01,6.700000000000000000e+01,4.715121445295378244e-02
3.889683397683397743e+02,7.118223938223938774e+01,6.700000000000000000e+01,6.700000000000000000e+01,4.715121445295378244e-02
4.792190967741935310e+02,7.535767741935484310e+01,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
5.694889753566795889e+02,7.950505836575875662e+01,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
6.595868605556997863e+02,8.384549467670734657e+01,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
7.497931392931393475e+02,8.801767151767151631e+01,6.600000000000000000e+01,6.700000000000000000e+01,4.715121445295378244e-02
2.234468085106383057e+02,7.365366430260047537e+01,3.100000000000000000e+01,3.500000000000000000e+01,4.715121445295378244e-02
8.400909562062710165e+02,9.228971236071521389e+01,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
9.302912144702842170e+02,9.658966408268733517e+01,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.020526097117631821e+03,1.008763957413658829e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.110759355509355601e+03,1.052159563409563390e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.200940748440748393e+03,1.093960498960499024e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.291257090814467801e+03,1.136010928961748618e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.381494402499349235e+03,1.178797188232231150e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.471719979161239962e+03,1.222354779890596461e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.561956078431372589e+03,1.265372549019607789e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.652251437532671162e+03,1.307749607945635262e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.743258616352201216e+03,1.355874213836478077e+02,6.700000000000000000e+01,6.800000000000000000e+01,4.715121445295378244e-02
1.827299798792756519e+03,1.413537894030851874e+02,6.200000000000000000e+01,5.800000000000000000e+01,4.715121445295378244e-02
2.055155301677972091e+02,1.515130310603356065e+02,5.700000000000000000e+01,5.900000000000000000e+01,4.715121445295378244e-02
2.946508721687060870e+02,1.571869304868523898e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
3.848825963279027746e+02,1.613982415309025100e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
4.749360872954014212e+02,1.655733956871914643e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
5.651670588235293735e+02,1.698060130718954213e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
6.553462647444298455e+02,1.741082568807339328e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
7.455686171608501809e+02,1.784043558121228159e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
8.357599685204617117e+02,1.826678908709338884e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
9.259994753410283010e+02,1.869750786988457492e+02,6.700000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.016280283167278412e+03,1.911531200839014275e+02,6.700000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.106499342969776535e+03,1.953978975032851508e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.196661849710982551e+03,1.997004729374671683e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.286942398737506664e+03,2.039668595476065320e+02,6.700000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.377271503957783580e+03,2.081778364116094906e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.467464078182778621e+03,2.123423137876386591e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.557861522198731564e+03,2.166382135306553778e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.647929008242488635e+03,2.210795001329433660e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.738845250255362544e+03,2.251703268641470856e+02,6.800000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.827587257617728483e+03,2.289984610649430579e+02,6.100000000000000000e+01,6.100000000000000000e+01,4.715121445295378244e-02
2.032722063037249143e+02,2.415669770773639016e+02,5.800000000000000000e+01,5.900000000000000000e+01,4.715121445295378244e-02
2.902535429013141197e+02,2.473867559907240263e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
3.805051060487038512e+02,2.518028279654359665e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
4.706410256410256352e+02,2.559071166928309822e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
5.608886268343815118e+02,2.601035115303983503e+02,6.700000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
6.511199475065616298e+02,2.643700787401574530e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
7.413109354413702476e+02,2.685899868247694258e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
8.315812302839116228e+02,2.728903785488959102e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
9.216897186431764339e+02,2.771885353668156995e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.011963206307490168e+03,2.814491458607096206e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.102245397159389768e+03,2.855854813256181046e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.192462209302325618e+03,2.899500528541226458e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.282675191141576533e+03,2.941979963089902412e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.372971616294349587e+03,2.984097240473061561e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.463249867794817646e+03,3.026277102062400672e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.553499867759851895e+03,3.068992330071409924e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.643869392089195571e+03,3.111351207857711643e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.735116368286445095e+03,3.154048593350383385e+02,6.800000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.821477985429204864e+03,3.189939816281279832e+02,6.100000000000000000e+01,5.800000000000000000e+01,4.715121445295378244e-02
1.992688131785847929e+02,3.315750655185323694e+02,5.600000000000000000e+01,5.800000000000000000e+01,4.715121445295378244e-02
2.861574313827032370e+02,3.375056965302952108e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
3.761951540690018305e+02,3.415670265999473258e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
4.664279716609813704e+02,3.459572290737339131e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
5.565448818897638148e+02,3.502887139107611461e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
6.468005765199161488e+02,3.545238469601677025e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
7.368862385321100419e+02,3.588005242463958098e+02,6.700000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
8.272244467860906525e+02,3.631143308746048319e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
9.174707894736842491e+02,3.673000000000000114e+02,6.600000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.007711629125196396e+03,3.715898376113148061e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.097975897301545729e+03,3.759627980089074981e+02,6.700000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.188082961407193579e+03,3.801638225255972543e+02,6.700000000000000000e+01,6.500000000000000000e+01,4.715121445295378244e-02
1.278393963254593245e+03,3.843433070866141748e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
1.368646488469601763e+03,3.886907756813417336e+02,6.600000000000000000e+01,6.600000000000000000e+01,4.715121445295378244e-02
